Id,City,Country
642,Buenos Aires, Argentina
643,Mexico, D.F
644,Esplugues de Llobregat,
645,Barcelona, España
646,Santiago, Chile
647,Habana,
648,México, D. F.
649,Barcelona, España
650,Quito,
651,São Paulo, Brasil
652,Santander,
653,Place of publication not identified,
654,Madrid, España
655,Barcelona, España
656,Montevideo,
657,Salamanca,
658,Madrid, España
659,Caracas,
660,Madrid, España
661,Valparaiso,
662,Barcelona, España
663,México,
664,Lisboa, Portugal
665,Madrid, España
666,Buenos Aires, Argentina
667,Medellín,
668,Barcelona, España
669,Valladolid,
670,Toledo,
671,San José, Costa Rica
672,Lima,
673,Tafalla, Spain
674,Rio de Janeiro,
675,Madrid, España
676,Chilpancingo, Guerrero
677,Sevilla,
678,Madrid, España
679,La Paz, Bolivia
680,Quito,
681,Huancayo,
682,Barcelona, España
683,Barcelona, España
684,México,
685,Caracas,
686,Barcelona, España
687,Madrid, España
688,London,
689,San José, Costa Rica
690,Bilbao,
691,Barcelona, España
692,Montevideo,
693,,
694,Buenos Aires, Argentina
695,Cárdenas,
696,Madrid, España
697,Santander,
698,San José, C.R.
699,Guatemala, Guatemala
700,La Paz, Bolivia
701,Arizpe, México
702,Lima,
703,Lisboa, Portugal
704,Spain,
705,Bogota,
706,Santa Fe,
707,Évora,
708,Caracas,
709,Barcelona, España
710,Morrisville, N.C
711,Madrid, España
712,São Paulo, Brasil
713,México,
714,Lima,
715,La Habana,
716,Santiago, Chile
717,Sao Paulo, Brasil
718,México,
719,Caracas, Venezuela
720,Guatemala, Guatemala
721,Montevideo, Uruguay
722,s.l. : I.N.A.L.D.,1988
723,Lisbon,
724,Montevideo,
725,Montevideo,
726,Madrid, España
727,Arecibo, P.R
728,Barcelona, España
729,Rio de Janeiro,
730,,
731,São Paulo, Brasil
732,México,
733,Buenos Aires, Argentina
734,Bruselas,
735,La Paz, Bolivia
736,Buenos Aires, Argentina
737,Porto Alegre,
738,Buenos Aires, Argentina
739,Lima,
740,Rio de Janeiro,
741,México,
742,Barcelona, España
743,Guatemala, Guatemala
744,Toluca, Estado de México
745,São Paulo-SP,
746,Santiago,
747,Madrid, España
748,Lisboa, Portugal
749,San Salvado,
750,Rio de Janeiro,
751,Buenos Aires, Argentina
752,México,
753,Praga,
754,Esplugues de Llobregat, Barceolna
755,Recife,
756,Buenos Aires, Argentina
757,Buenos Aires, Argentina
758,Lima,
759,Barcelona, España
760,Buenos Aires, Argentina
761,Madrid, España
762,Miami, FL
763,Barcelona, España
764,Lisboa, Portugal
765,Madrid, España
766,Huesca,
767,Barcelona, España
768,Rio de Janeiro,
769,São Paulo, Brasil
770,Madrid, España
771,Barcelona, España
772,Barcelona, España
773,Rio de Janerio, Brasil
774,Montevideo,
775,Lisboa, Portugal
776,Lima,
777,La Habana,
778,Madrid, España
779,Lisboa, Portugal
780,Barcelona, España
781,León [Spain,
782,Montevideo,
783,México,
784,Lima,
785,Barcelona, España
